id,book,volume,chapter,question_no,sgf_content
1,初级篇,上,2.行 棋/04.中央行棋,中央行棋1,"(;AB[dc][fc][fb][pd][pj][pp][cq][dq][fq][fr][hj][cc]AP[MultiGo:4.4.4]
AW[cd][dd][ed][ge][hc][cp][dp][ep][go][hq][dj][fj]
C[第1题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[fj:1]MULTIGOGM[1]
SZ[19]TR[hj];B[jj]C[RIGHT：]KEY[])
"
2,初级篇,上,2.行 棋/04.中央行棋,中央行棋2,"(;AB[cd][cf][bf][fq][iq][pp][jd][id][pd][qc][qf][cc]AP[MultiGo:4.4.4]
AW[de][dd][dc][eg][ch][dp][dn][jc][kc][le][nc][pb]
C[第2题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[le:1]MULTIGOGM[1]
SZ[19]TR[jd][id];B[jg]C[RIGHT：]KEY[])
"
3,初级篇,上,2.行 棋/04.中央行棋,中央行棋3,"(;AB[fp][fq][jp][pp][qn][pd][pf][gd][hd][id][ep]AP[MultiGo:4.4.4]
AW[dc][ce][dq][eq][cp][cn][nc][jc][ic][hc][ke]
C[第3题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[ke:1]MULTIGOGM[1]
SZ[19]TR[id][hd][gd];B[hg]C[RIGHT：]KEY[])
"
4,初级篇,上,2.行 棋/04.中央行棋,中央行棋4,"(;AB[dc][ec][fc][gc][gd][he][fj][ip][qp][oq][pd][cc]AP[MultiGo:4.4.4]
AW[hd][id][ge][gf][fd][ed][dd][cd][dj][dp][gp][hj]
C[第4题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[hj:1]MULTIGOGM[1]
SZ[19]TR[fj];B[fl]C[RIGHT：]KEY[])
"
5,初级篇,上,2.行 棋/04.中央行棋,中央行棋5,"(;AB[cp][bn][ho][io][pp][pn][qk][pd][nc][jd][fc][cq]AP[MultiGo:4.4.4]
AW[dq][dp][do][jq][hp][gp][ko][np][qi][qf][dd][df]
C[第5题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[ko:1]MULTIGOGM[1]
SZ[19]TR[ho][io];B[il]C[RIGHT：]KEY[])
"
6,初级篇,上,2.行 棋/04.中央行棋,中央行棋6,"(;AB[ei][de][cd][cc][pd][qe][mc][pp][qn][jo][ho][ci]AP[MultiGo:4.4.4]
AW[dp][co][ck][cb][dc][eb][fd][mq][mo][jq][hp][gp]
C[第6题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[mo:1]MULTIGOGM[1]
SZ[19]TR[jo][ho];B[jl]C[RIGHT：]KEY[])
"
7,初级篇,上,2.行 棋/04.中央行棋,中央行棋7,"(;AB[ep][hp][kp][pp][pn][pj][pd][pf][je][he][cq][dq]AP[MultiGo:4.4.4]
AW[bq][bo][cp][dn][nc][jd][kd][hc][de][dc][dj][jj]
C[第7题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[kd:1]MULTIGOGM[1]
SZ[19]TR[je][he];B[hh]C[RIGHT：]KEY[])
"
8,初级篇,上,2.行 棋/04.中央行棋,中央行棋8,"(;AB[bd][pd][qf][qp][cc][kq][hp][fq][dr][dc][bc][fk][fj][eb][da][ed][op]
AP[MultiGo:4.4.4]
AW[ek][di][nc][kd][dp][cd][dd][ec][fc][gc][fb][dn][go][be][cf][ee][el]
C[第8题：
      白1，黑▲向宽阔的地方下棋。]CA[UTF-8]LB[el:1]MULTIGOGM[1]
SZ[19]TR[fk][fj];B[ik]C[RIGHT：]KEY[])
"
9,初级篇,上,2.行 棋/02.小 飞,小 飞01,"(;AB[mc][qp][oq][jp][eq][pd]AP[MultiGo:4.4.4]AW[dd][qg][qj][hp][cq][co]
C[第1题：
      请在黑●处小飞行棋。]CA[UTF-8]CR[eq]MULTIGOGM[1]SZ[19];B[fo]
C[RIGHT：]KEY[])
"
10,初级篇,上,2.行 棋/02.小 飞,小 飞02,"(;AB[de][fn][fp][jq][pq][qo][qd][oc][ce]AP[MultiGo:4.4.4]
AW[cd][dc][fc][dh][dk][dn][cq][qk][qh]C[第2题：
      请在黑●处小飞行棋。]
CA[UTF-8]CR[ce][de]MULTIGOGM[1]SZ[19];B[ff]C[RIGHT：]KEY[])
"
11,初级篇,上,2.行 棋/02.小 飞,小 飞03,"(;AB[hq][qp][nq][pj][pd][nc][fq]AP[MultiGo:4.4.4]AW[dq][ep][ip][jq][dd][fc][dk]
C[第3题：
      请在黑●处小飞行棋。]CA[UTF-8]CR[fq][hq]MULTIGOGM[1]SZ[19];
B[go]C[RIGHT：]KEY[])
"
12,初级篇,上,2.行 棋/02.小 飞,小 飞04,"(;AB[pp][qd][oc][id][fc][jq]AP[MultiGo:4.4.4]AW[dp][gp][jo][dd][df][dj]
C[第4题：
      请在黑●处小飞行棋。]CA[UTF-8]CR[jq]MULTIGOGM[1]SZ[19];B[lp]
C[RIGHT：]KEY[])
"
13,初级篇,上,2.行 棋/02.小 飞,小 飞05,"(;AB[fq][ho][ip][jp][kp][pp][pj][pd][fo]AP[MultiGo:4.4.4]
AW[dp][cn][hp][hq][iq][jq][lq][jd][dd]
C[第5题：
      请在黑●处小飞扩大黑棋的模样。]CA[UTF-8]CR[kp]MULTIGOGM[1]
SZ[19];B[mo]C[RIGHT：]KEY[])
"
14,初级篇,上,2.行 棋/02.小 飞,小 飞06,"(;AB[kq][qp][qh][pd][fq]AP[MultiGo:4.4.4]AW[dd][dp][cn][qj][qm]
C[第6题：
      请在黑●处小飞扩大黑棋的模样。]CA[UTF-8]CR[qp]MULTIGOGM[1]
SZ[19];B[pn]C[RIGHT：]KEY[])
"
15,初级篇,上,2.行 棋/02.小 飞,小 飞07,"(;AB[pk][pq][kq][lp][pd]AP[MultiGo:4.4.4]AW[dd][dp][jo][jq][jr]
C[第7题：
      请在黑●处小飞扩大黑棋的模样。]CA[UTF-8]CR[lp]MULTIGOGM[1]
SZ[19];B[kn]C[RIGHT：]KEY[])
"
16,初级篇,上,2.行 棋/02.小 飞,小 飞08,"(;AB[df][cf][dj][pd][pf][pj][me][lq][mo][op][pp][qp][de]AP[MultiGo:4.4.4]
AW[cd][ce][dc][fc][cl][dp][qc][pb][nc][qq][pq][nq][nr]
C[第8题：
      请在黑●处小飞扩大黑棋的模样。]CA[UTF-8]CR[dj]MULTIGOGM[1]
SZ[19];B[el]C[RIGHT：]KEY[])
"
17,初级篇,上,2.行 棋/02.小 飞,小 飞09,"(;AB[pq][qo][pd][fc][cb][db][cc][cd][cf][jq]AP[MultiGo:4.4.4]
AW[dp][fq][lq][kc][hc][eb][ec][dc][dd][de]
C[第9题：
      请在黑●处小飞逼迫白棋。]CA[UTF-8]CR[jq]MULTIGOGM[1]SZ[19];
B[ko]C[RIGHT：]KEY[])
"
18,初级篇,上,2.行 棋/02.小 飞,小 飞10,"(;AB[qg][pq][qo][kq][jo][pd]AP[MultiGo:4.4.4]AW[dq][co][dd][qi][ql][iq]
C[第10题：
      请在黑●处小飞逼迫白棋。]CA[UTF-8]CR[jo]MULTIGOGM[1]SZ[19];
B[hp]C[RIGHT：]KEY[])
"
19,初级篇,上,2.行 棋/02.小 飞,小 飞11,"(;AB[cp][qd][pe][pl][pq][mq][do]AP[MultiGo:4.4.4]AW[eq][hq][cl][dd][oc][qo][no]
C[第11题：
      请在黑●处小飞逼迫白棋。]CA[UTF-8]CR[pe]MULTIGOGM[1]SZ[19];
B[nd]C[RIGHT：]KEY[])
"
20,初级篇,上,2.行 棋/02.小 飞,小 飞12,"(;AB[en][ep][er][jp][pq][qo][pd][dl]AP[MultiGo:4.4.4]
AW[cr][cp][cn][bl][go][gq][jc][dd]C[第12题：
      请在黑●处小飞逼迫白棋。]
CA[UTF-8]CR[en]MULTIGOGM[1]SZ[19];B[gm]C[RIGHT：]KEY[])
"
